Company/Plant name,Industry/Plant type,Latitude,Longitude,Biogenic,Fossil,Total,Fraction,Green,Integration
Bristaverket Stockholm,"CHP, Waste + Biomass",59.615,17.873,325,93,418,0.221946827,0.778053173,NA
Västerås Kraftvärmeverk,"CHP, Waste + Biomass",59.588,16.514,783,158,941,0.167781505,0.832218495,NA
Kraftvärmeverket Torsvik Jönköping,"CHP, Waste + Biomass",57.6978,14.1739,284,72,356,0.201627908,0.798372092,NA
Ljungsjö Kraftvärmeverk Ljungby,"CHP, Waste + Biomass",56.8333,13.9333,93,0,93,0,1,NA
Högdalenverket Stockholm,"CHP, Waste + Biomass",59.2565,18.0614,471,325,795,0.408344473,0.591655527,NA
Dåva Kraftvärmeverk Umeå,"CHP, Waste + Biomass",63.869,20.413,212,66,278,0.237459731,0.762540269,NA
Boländerna avfallsförbränning HOB Uppsala,"HOB, Waste",59.8533,17.6747,205,156,361,0.432132964,0.567867036,NA
Igelsta Värmeverk Södertälje,"HOB, Waste",59.178,17.665,164,71,234,0.30116582,0.69883418,NA
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
