City,Name,"Fuel (W=waste, B=biomass)",Heat output (MWheat),Electric output (MWe),Existing FGC heat output (MWheat),Year of commissioning,Live steam temperature (degC),Live steam pressure (bar),Latitude,Longitude,mean_captured,Size,Origin,Route_Length,density_bio,density_w2e
Haninge,Jordbro KVV,B,43.0,20.3,10,1975,473,82,59.14734077310166,18.11684181098596,114.22567330500748,50.2079679331658,Stockholm/Norvik,1521.1,0.4005714285714286,
Hedemora,Hedemora KVV,B,7.0,2.5,0,2011,450,40,60.27968446866046,16.001188537617693,17.02525112303057,2.34335376173568,Stockholm/Norvik,1521.1,0.0115,
Helsingborg,Vasthamnsverket ,B,138.0,69.0,0,1982,540,130,56.02613110251118,12.68662953388941,366.7573605650287,174.56269299939527,Malmo,936.2,0.934,
Hofors,Hofors KVV,B,14.0,1.5,3,2001,240,25,60.55806944848061,16.25628638813551,27.971328261359854,7.733554206914312,Stockholm/Norvik,1521.1,0.02,
Hudiksvall,Djuped KVV,B,36.0,14.0,11,1992,475,63,61.72492250431564,17.079059529600077,90.1185916543581,38.33686556442064,Sundsvall,1874.9,0.298,
Harnosand,Harnosand KVV,B,24.0,11.7,7,2002,510,92,62.64274948842672,17.937243539707232,63.44736808261524,25.203097242392353,Sundsvall,1874.9,0.11485714285714285,
Jonkoping,Torsvik 2 KVV ,B,65.0,35.0,29,2014,540,140,57.74751730696009,14.188577637887724,177.86610973842613,81.54656572118883,Goteborg,616.6,0.711,
Kalmar,Moskogen KVV,B,60.0,30.0,26,2010,540,143,56.69639081012084,16.309941872533987,159.449127703204,72.47745141561825,Malmo,936.2,0.653,
Karlskrona,Bubbetorp KVV,B,30.0,13.0,7,2012,480,90,56.203580849160566,15.6270038972443,77.50417748166794,32.12512230425207,Malmo,936.2,0.3605,
Karlstad,Hedensverket 2 ,B,70.0,20.0,20,1964,505,68,59.41869753102392,13.516707971283456,162.79052322711382,74.12286204199043,Goteborg,616.6,0.7848888888888889,
Karlstad,Hedensverket 3 ,B,55.0,35.0,28,2014,547,140,59.41869753102392,13.516707971283456,159.43348770824556,72.46974977906643,Goteborg,616.6,0.5909090909090909,
Katrineholm,PC Vaster,B,15.6,5.4,0,2009,400,40,58.996070529742994,16.18265574965514,37.51321848056066,12.432287849790146,Stockholm/Norvik,1521.1,0.067,
Kinna,Assbergsverket,B,13.5,3.5,5,2005,440,50,57.49849534780471,12.698887339048474,30.494961985028386,8.976272620906977,Goteborg,616.6,0.05714285714285714,
Kristianstad,Alloverket 1 ,B,36.7,15.3,11,1995,513,68,56.014628120174805,14.17119895292794,93.69279523345233,40.09691836504738,Malmo,936.2,0.40066666666666667,
Kristianstad,Alloverket 2 ,B,23.3,8.7,6,2007,513,68,56.014628120174805,14.17119895292794,57.414809722414795,22.232471478678644,Malmo,936.2,0.19,
Kungalv,Munkegardsverket,B,20.0,2.6,5,2006,224,25,57.87439706105703,11.938832401208554,41.221967554957274,14.258595179734627,Goteborg,616.6,0.18914285714285714,
Linkoping,Linkoping KVV ,B,41.0,22.0,20,1978,475,59,58.3896877233502,15.634078833679338,112.84020670471794,49.52571961796704,Stockholm/Norvik,1521.1,0.3245,
Ljungby,Ljungsjo 2 ,B,13.0,1.6,0,2006,220,16,56.84162427321944,13.93355442869451,26.69995107535439,7.107487188804245,Malmo,936.2,0.044571428571428574,
Lund,aterbruket ,B,10.0,4.4,0,1996,510,61,55.69491302437466,13.161602062859036,25.97094852565068,6.748502886182286,Malmo,936.2,0.036571428571428574,
Lund,ortofta ,B,79.0,35.0,15,2014,540,112,55.69491302437466,13.161602062859036,202.83034384050495,93.83975752589298,Malmo,936.2,0.7577142857142857,
